,n_placement,n_step,placed_dev,reward,HPWL,congestion,action,legalized_action
173,57,2,XM5,-3169.1411976635272,2985.0,33907.98067695824,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
174,58,0,XM5,0.0,0.0,0.0,"(1497, 1164, 180)","(1843.0, 885.0, 180)"
175,58,1,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
176,58,2,XDL_XM3_XM4,-2790.013514817583,2658.0,17427.56809449232,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
177,59,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1482.5, 885.0, 180)"
178,59,1,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1843.0, 1164.0, 180)"
179,59,2,XM5,-3169.1411976635272,2985.0,33907.98067695824,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
180,60,0,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
181,60,1,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1497.0, 885.0, 180)"
182,60,2,XM5,-3166.8237199275627,2985.0,33059.8651282968,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
183,61,0,XM5,0.0,0.0,0.0,"(1497, 1164, 180)","(1843.0, 885.0, 180)"
184,61,1,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
185,61,2,XDL_XM3_XM4,-2790.013514817583,2658.0,17427.56809449232,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
186,62,0,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
187,62,1,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1497.0, 885.0, 180)"
188,62,2,XM5,-3166.8237199275627,2985.0,33059.8651282968,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
189,63,0,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
190,63,1,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1497.0, 885.0, 180)"
191,63,2,XM5,-3166.8237199275627,2985.0,33059.8651282968,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
192,64,0,XM5,0.0,0.0,0.0,"(1497, 1164, 180)","(1497.0, 885.0, 180)"
193,64,1,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
194,64,2,XDP_XM1_XM2,-3108.035991145352,2918.0,36113.67793059633,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
195,65,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1482.5, 885.0, 180)"
196,65,1,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1843.0, 1164.0, 180)"
197,65,2,XM5,-3169.1411976635272,2985.0,33907.98067695824,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
198,66,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 885.0, 180)"
199,66,1,XM5,0.0,0.0,0.0,"(1497, 1164, 180)","(1843.0, 1164.0, 180)"
200,66,2,XDL_XM3_XM4,-2905.4051852605644,2725.0,32546.030868898575,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
201,67,0,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
202,67,1,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1497.0, 885.0, 180)"
203,67,2,XM5,-3166.8237199275627,2985.0,33059.8651282968,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
204,68,0,XM5,0.0,0.0,0.0,"(1497, 1164, 180)","(1843.0, 885.0, 180)"
205,68,1,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
206,68,2,XDL_XM3_XM4,-2790.013514817583,2658.0,17427.56809449232,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
207,69,0,XM5,0.0,0.0,0.0,"(1497, 1164, 180)","(1843.0, 885.0, 180)"
208,69,1,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
209,69,2,XDL_XM3_XM4,-2790.013514817583,2658.0,17427.56809449232,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
210,70,0,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
211,70,1,XM5,0.0,0.0,0.0,"(1497, 1164, 180)","(1497.0, 885.0, 180)"
212,70,2,XDP_XM1_XM2,-3108.035991145352,2918.0,36113.67793059633,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
213,71,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1482.5, 885.0, 180)"
214,71,1,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1843.0, 1164.0, 180)"
215,71,2,XM5,-3169.1411976635272,2985.0,33907.98067695824,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
216,72,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1482.5, 885.0, 180)"
217,72,1,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1843.0, 1164.0, 180)"
218,72,2,XM5,-3169.1411976635272,2985.0,33907.98067695824,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
219,73,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 885.0, 180)"
220,73,1,XM5,0.0,0.0,0.0,"(1497, 1164, 180)","(1843.0, 1164.0, 180)"
221,73,2,XDL_XM3_XM4,-2905.4051852605644,2725.0,32546.030868898575,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
222,74,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1482.5, 885.0, 180)"
223,74,1,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1843.0, 1164.0, 180)"
224,74,2,XM5,-3169.1411976635272,2985.0,33907.98067695824,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
225,75,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 885.0, 180)"
226,75,1,XM5,0.0,0.0,0.0,"(1497, 1164, 180)","(1843.0, 1164.0, 180)"
